# LC-RV reference data -- 80 % glycerol, annular-gap study.
# Two independent runs are pooled here and are distinguished by source_sheet and cup_id_mm:
#   (1) sheet 'Sasanka Gylcerol and Oil'   -- cup ID 45.0 mm, bobs 39.5/40.5/41.5/42.5 mm, gaps 2.75/2.25/1.75/1.25 mm.  Paper Fig. 3 (all gaps < 3 mm collapse onto one line).
#   (2) sheet 'Sasanka Gylcerol and Oil 2' -- cup ID 46.0 mm, bobs 43/40/37/34 mm, gaps 1.5/3.0/4.5/6.0 mm.  Paper SFig. 2 (gaps from 1.5 mm to 6 mm).
# CAVEAT ON concentration_pct: run (2) is labelled 'G_80% <bob>' in the workbook, so 80 % is explicit. Run (1) is labelled only 'G-<bob>mm'; 80 % is assigned from the manuscript statement that the annular-gap study was performed with an 80 % glycerol solution. The two runs give different absolute viscosities (~0.037 vs ~0.024 Pa.s) -- see data/README.md.
# Wetted bob height 25.0 mm in both runs.
# load_cell_g is a single raw replicate reading. Every column prefixed 'wb_' is a value COMPUTED IN THE WORKBOOK for the whole RPM group and is repeated on each replicate row of that group.
# Workbook model (as published): wb_shear_rate_1s = omega*R_b/G, wb_shear_stress_Pa = F(N)/(2*pi*R_b*h), with F(N) = load_cell_g * 9.81 / 1000.
# BELOW-DETECTION CONVENTION: load_cell_g values of exactly 0 (and the few small negatives) in the 34 / 37 / 40 mm bob columns are GENUINE at-or-below-detection readings, not missing data. An empty cell means no reading was recorded.
fluid,concentration_pct,cup_id_mm,bob_diameter_mm,gap_mm,wetted_height_mm,rpm,rpm_nominal,replicate,load_cell_g,wb_group_mean_load_cell_g,wb_angular_velocity_rad_s,wb_bob_surface_velocity_m_s,wb_shear_rate_1s,wb_shear_stress_Pa,wb_viscosity_Pas,source_sheet,source_column
glycerol,80,45,39.5,2.75,25,140,140,1,1.29,1.285882353,14.66076572,0.2895501229,105.2909538,4.066148792,0.03861821596,Sasanka Gylcerol and Oil,G-39.5mm
glycerol,80,45,39.5,2.75,25,140,140,2,1.29,1.285882353,14.66076572,0.2895501229,105.2909538,4.066148792,0.03861821596,Sasanka Gylcerol and Oil,G-39.5mm
glycerol,80,45,39.5,2.75,25,140,140,3,1.28,1.285882353,14.66076572,0.2895501229,105.2909538,4.066148792,0.03861821596,Sasanka Gylcerol and Oil,G-39.5mm
glycerol,80,45,39.5,2.75,25,140,140,4,1.27,1.285882353,14.66076572,0.2895501229,105.2909538,4.066148792,0.03861821596,Sasanka Gylcerol and Oil,G-39.5mm
glycerol,80,45,39.5,2.75,25,140,140,5,1.29,1.285882353,14.66076572,0.2895501229,105.2909538,4.066148792,0.03861821596,Sasanka Gylcerol and Oil,G-39.5mm
glycerol,80,45,39.5,2.75,25,140,140,6,1.28,1.285882353,14.66076572,0.2895501229,105.2909538,4.066148792,0.03861821596,Sasanka Gylcerol and Oil,G-39.5mm
glycerol,80,45,39.5,2.75,25,140,140,7,1.27,1.285882353,14.66076572,0.2895501229,105.2909538,4.066148792,0.03861821596,Sasanka Gylcerol and Oil,G-39.5mm
glycerol,80,45,39.5,2.75,25,140,140,8,1.3,1.285882353,14.66076572,0.2895501229,105.2909538,4.066148792,0.03861821596,Sasanka Gylcerol and Oil,G-39.5mm
glycerol,80,45,39.5,2.75,25,140,140,9,1.3,1.285882353,14.66076572,0.2895501229,105.2909538,4.066148792,0.03861821596,Sasanka Gylcerol and Oil,G-39.5mm
glycerol,80,45,39.5,2.75,25,140,140,10,1.27,1.285882353,14.66076572,0.2895501229,105.2909538,4.066148792,0.03861821596,Sasanka Gylcerol and Oil,G-39.5mm
