# LC-RV reference data -- raw load-cell time series during a single run.
# Source workbook: 'Rotational Viscometer Data.xlsx', sheet 'Miriam - load response', columns B:D (193 samples, 1 Hz).
# FLUID LABEL: the workbook's descriptive-statistics block for this column is headed 'Liquid Soap 125 RPM' and its Mean (25.001597 g), SD (0.416980 g) and Count (144) reproduce exactly from samples t = 50-193 s of this series, so the series is liquid soap at 125 RPM. The caption of paper Fig. 2A describes the equivalent trace as being recorded with oil; see data/README.md.
# Rotation starts at t = 24 s: samples 1-23 s are the no-rotation baseline and read essentially zero, which is the point of the figure.
# Geometry (from the 'Miriam Stress-Strain' sheet header): bob 43.0 mm, gap 1.0 mm, wetted height 25.0 mm; cup_id_mm 45.0 is DERIVED as 2*(R_b + G) -- the workbook does not state it directly.
# in_stabilized_window flags the 144-sample window (t = 50-193 s) used for the workbook's descriptive statistics.
# wb_force_mN is the workbook's own conversion of load_cell_g and uses g = 9.81 m/s^2. It is reproduced as published.
# Corresponds to paper Fig. 2A.
fluid,rpm,cup_id_mm,bob_diameter_mm,gap_mm,wetted_height_mm,time_s,load_cell_g,wb_force_mN,in_stabilized_window,source_sheet
liquid soap,125,45,43,1,25,1,0.11,1.0791,FALSE,Miriam - load response
liquid soap,125,45,43,1,25,2,0,0,FALSE,Miriam - load response
liquid soap,125,45,43,1,25,3,0.22,2.1582,FALSE,Miriam - load response
liquid soap,125,45,43,1,25,4,0.17,1.6677,FALSE,Miriam - load response
liquid soap,125,45,43,1,25,5,0.31,3.0411,FALSE,Miriam - load response
liquid soap,125,45,43,1,25,6,0.31,3.0411,FALSE,Miriam - load response
liquid soap,125,45,43,1,25,7,0.29,2.8449,FALSE,Miriam - load response
liquid soap,125,45,43,1,25,8,0.27,2.6487,FALSE,Miriam - load response
liquid soap,125,45,43,1,25,9,0.51,5.0031,FALSE,Miriam - load response
liquid soap,125,45,43,1,25,10,0.44,4.3164,FALSE,Miriam - load response
liquid soap,125,45,43,1,25,11,0.47,4.6107,FALSE,Miriam - load response
liquid soap,125,45,43,1,25,12,0.43,4.2183,FALSE,Miriam - load response
liquid soap,125,45,43,1,25,13,0.42,4.1202,FALSE,Miriam - load response
liquid soap,125,45,43,1,25,14,0.4,3.924,FALSE,Miriam - load response
